0.785809,0.000791564,-0.117705,-21.2982,0,0,0,0
0.785809,0.000527709,-0.117705,-21.1122,0,0,0,0
0.785808,8.05387e-05,-0.11038,-26.2,0,0,0,0
0.785805,-0.00116701,-0.0774214,51.756,0,0,0,0
0.785805,-0.00801547,-0.136931,-37.9178,0,0,0,0
0.785803,-0.00911778,-0.311796,-159.509,0,0,0,0
0.785761,-0.0245633,-0.344755,-64.418,0,0,0,0
0.785693,-0.0437212,-0.439055,-61.4088,0,0,0,0
0.785561,-0.075799,-0.439055,2.30443,0,0,0,0
0.785371,-0.11621,-0.505888,-67.4375,0,0,0,0
0.785097,-0.177454,-0.499479,10.7426,0,0,0,0
0.784731,-0.243499,-0.559904,-33.975,0,0,0,0
0.784251,-0.330184,-0.606596,-51.8103,0,0,0,0
0.783662,-0.416188,-0.646879,-34.7864,0,0,0,0
0.782923,-0.527878,-0.687163,-48.4044,0,0,0,0
0.782049,-0.646754,-0.69998,-2.57109,0,0,0,0
0.781005,-0.779513,-0.707304,-35.6159,0,0,0,0
0.779803,-0.927799,-0.653288,48.8197,0,0,0,0
0.778426,-1.07436,-0.620329,70.5937,0,0,0,0
0.776877,-1.21029,-0.600187,-7.49992,0,0,0,0
0.775192,-1.35983,-0.613005,33.6923,0,0,0,0
0.773312,-1.52168,-0.539763,78.6599,0,0,0,0
0.771278,-1.68142,-0.592863,-58.6202,0,0,0,0
0.769124,-1.83095,-0.667021,-0.950821,0,0,0,0
0.766753,-1.98999,-0.539763,82.9459,0,0,0,0
0.76426,-2.15535,-0.512297,36.2107,0,0,0,0
0.761576,-2.31327,-0.505888,37.0695,0,0,0,0
0.758749,-2.4705,-0.505888,-42.9707,0,0,0,0
0.755794,-2.6247,-0.546171,-25.2805,0,0,0,0
0.752599,-2.78972,-0.285246,305.021,0,0,0,0
0.749287,-2.9969,-0.626738,-360.134,0,0,0,0
0.74587,-3.1343,-0.915129,-235.47,0,0,0,0
0.742225,-3.29258,-1.06894,-127.607,0,0,0,0
0.738424,-3.46026,-0.687163,418.097,0,0,0,0
0.734441,-3.60494,-0.358488,478.16,0,0,0,0
0.730417,-3.74292,-0.285246,-34.1524,0,0,0,0
0.726254,-3.83326,-0.20468,103.823,0,0,0,0
0.721985,-3.92919,-0.0435468,168.433,0,0,0,0
0.717727,-4.03305,0.0370196,43.3845,0,0,0,0
0.713364,-4.09048,0.0434283,100.8,0,0,0,0
0.784033,-0.00137704,0.117586,56.188,0,0,0,0
0.784038,0.000573944,0.0773028,0.690321,0,0,0,0
0.784036,-9.20883e-05,0.0901202,5.76071,0,0,0,0
