0.784894,0.00069844,0.272045
0.784896,0.000965201,0.271847
0.784893,0.00042475,0.271618
0.784892,0.00151785,0.271359
0.784897,0.000625639,0.271061
0.784884,-0.00280795,0.270663
0.784847,-0.019871,0.270035
0.784782,-0.0416251,0.269044
0.784668,-0.070602,0.267604
0.784486,-0.118302,0.265674
0.784218,-0.172538,0.263266
0.783862,-0.23508,0.260452
0.783402,-0.317149,0.257315
0.782805,-0.417103,0.253943
0.782078,-0.521632,0.250418
0.781215,-0.639658,0.246746
0.780179,-0.76325,0.24287
0.77898,-0.904362,0.238743
0.777597,-1.05914,0.234388
0.776031,-1.2179,0.229933
0.774325,-1.3724,0.225525
0.772432,-1.52725,0.221283
0.770388,-1.69531,0.217332
0.768151,-1.86046,0.213796
0.765747,-2.02612,0.21077
0.763209,-2.18468,0.208208
0.760458,-2.34685,0.20587
0.757597,-2.57906,0.203624
0.754534,-2.72708,0.201464
0.751283,-2.87284,0.199122
0.747845,-3.05908,0.196258
0.744274,-3.20789,0.193002
0.740555,-3.35627,0.189912
0.736717,-3.50338,0.187256
0.732606,-3.66923,0.184716
0.728388,-3.84045,0.182054
0.724043,-3.97925,0.179672
0.719655,-4.07325,0.178205
0.715153,-4.20021,0.177626
0.710454,-4.31825,0.177141
0.784934,6.22571e-05,0.257611
0.784936,0.000826296,0.257426
0.784935,0.00105469,0.257172
0.784935,0.00119967,0.256851
0.784937,0.00274893,0.256457
0.784938,0.00231962,0.255959
0.784935,-0.000139801,0.255283
0.784936,-0.000323653,0.254388
0.784936,0.000772755,0.25333
0.784935,0.000519055,0.252185
0.78493,-0.000159676,0.251001
0.784927,-0.000578983,0.249819
0.784925,-0.0018085,0.248699
0.784925,-0.000729722,0.247717
0.784925,-1.08414e-05,0.246947
0.784924,-0.000481254,0.246432
0.784921,-0.00130366,0.246189
0.78492,0.000114625,0.246235
0.784918,-0.000398009,0.246569
0.784917,-0.000536388,0.247176
0.784911,-0.0010695,0.248055
0.784911,-0.000475521,0.249227
0.784913,0.000429063,0.250716
0.784906,-0.000697233,0.252488
0.784908,0.000518574,0.254494
0.784912,0.00176991,0.256713
0.78491,0.00165469,0.259088
0.78491,0.00134051,0.261519
0.784907,0.00018161,0.263905
0.784907,0.000121085,0.266177
0.784907,-0.000156626,0.268305
0.784903,-0.000341769,0.27028
0.784904,0.000721595,0.272091
0.784899,-0.00118045,0.27373
0.784894,-0.00248238,0.27522
0.784886,-0.00311298,0.276654
0.784881,-0.00706837,0.278175
0.784877,-0.00510855,0.279896
0.784878,-0.00271959,0.281859
0.784884,0.00132095,0.284049
0.784889,0.00359566,0.286392
0.78489,0.00325506,0.288725
0.784886,0.00085529,0.290872
0.784882,-0.000687136,0.292711
0.784881,-0.00074835,0.294124
0.784877,-0.00538777,0.295033
0.784887,-0.000612257,0.295455
0.784875,-0.00458217,0.295433
0.78483,-0.0179685,0.295067
0.784818,-0.015272,0.294693
0.784818,-0.00766663,0.294893
0.784837,0.0039466,0.296187
0.784854,0.0114419,0.298698
0.78487,0.0113229,0.301997
0.78488,0.0114566,0.30523
0.78487,0.00344798,0.307463
0.784859,-0.00204742,0.308089
0.784819,-0.0147716,0.307048
0.784751,-0.031652,0.304802
0.784723,-0.0364104,0.302385
0.784753,-0.0193566,0.301237
0.784801,0.0030303,0.302319
0.78482,0.00744973,0.305305
0.784818,0.00658569,0.308898
0.784822,0.00591004,0.311667
0.784807,-0.002431,0.312527
0.784917,-0.000587992,0.203037
0.784923,0.00126974,0.203042
0.78492,0.000846662,0.203038
0.784921,-0.00840936,0.203007
0.784922,-0.00753909,0.202931
0.784905,-0.00992363,0.202747
0.784874,-0.0192179,0.202347
0.784804,-0.0377563,0.201629
0.7847,-0.0635124,0.200539
0.784539,-0.101794,0.19907
0.784288,-0.152982,0.19723
0.783966,-0.215067,0.195059
0.783567,-0.278955,0.192662
